,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
36457,86457,1,171,353,17,353,15
36458,86458,4,120,436,92,441,75
36459,86459,1,192,341,36,332,34
36460,86460,4,48,476,24,501,19
36461,86461,2,128,400,33,396,23
36462,86462,4,28,475,9,475,9
36463,86463,4,33,565,14,548,11
36464,86464,3,87,486,35,467,29
36465,86465,4,141,410,104,400,86
36466,86466,4,141,386,118,401,97
36467,86467,5,113,43,82,54,70
36468,86468,3,56,495,19,498,18
36469,86469,4,108,421,70,445,60
36470,86470,3,3,617,0,617,0
36471,86471,4,145,422,120,416,101
36472,86472,2,68,469,10,459,9
36473,86473,3,59,483,31,486,21
36474,86474,2,165,367,72,354,53
36475,86475,4,120,428,91,437,68
36476,86476,1,164,357,19,356,17
36477,86477,3,3,617,0,617,0
36478,86478,4,91,467,66,455,42
36479,86479,1,72,489,2,489,2
36480,86480,3,86,439,42,455,30
36481,86481,2,102,423,28,419,23
36482,86482,2,81,440,17,442,8
36483,86483,3,104,427,66,422,46
36484,86484,4,139,399,133,395,93
36485,86485,3,46,547,9,505,6
36486,86486,1,73,488,2,482,1
36487,86487,2,35,467,0,467,0
36488,86488,2,133,408,40,408,27
36489,86489,5,45,76,33,77,25
36490,86490,3,143,393,93,390,56
36491,86491,1,66,484,4,477,4
36492,86492,1,35,555,2,555,2
36493,86493,5,136,60,112,67,95
36494,86494,5,158,74,130,82,114
36495,86495,5,113,57,90,73,69
36496,86496,2,147,367,51,368,33
36497,86497,2,121,410,32,412,27
36498,86498,2,163,357,50,354,37
36499,86499,2,145,373,54,365,38
36500,86500,3,117,436,71,436,54
36501,86501,1,32,561,0,561,0
36502,86502,1,140,374,11,372,9
36503,86503,3,83,485,23,478,21
36504,86504,2,125,379,52,374,42
36505,86505,2,125,417,33,406,23
36506,86506,5,73,55,47,57,45
36507,86507,1,16,595,0,595,0
36508,86508,3,66,462,37,459,25
36509,86509,3,120,428,58,425,46
36510,86510,2,124,420,48,407,42
36511,86511,4,105,424,72,427,57
36512,86512,4,122,457,99,445,69
36513,86513,4,152,396,122,391,92
36514,86514,5,134,89,108,77,93
36515,86515,1,189,331,24,324,20
36516,86516,4,155,391,129,406,104
36517,86517,4,12,476,6,577,0
36518,86518,4,89,475,57,465,44
36519,86519,3,49,487,13,487,6
36520,86520,3,117,430,75,437,47
36521,86521,4,156,379,127,394,90
36522,86522,4,55,531,35,525,28
36523,86523,3,83,472,34,468,20
36524,86524,3,131,403,68,415,45
36525,86525,2,124,415,41,413,24
36526,86526,1,13,13,0,13,0
36527,86527,4,122,403,105,430,80
36528,86528,1,144,360,16,358,15
36529,86529,1,23,583,0,583,0
