,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
48127,98127,3,22,573,7,578,5
48128,98128,3,162,363,112,360,88
48129,98129,5,42,103,48,107,22
48130,98130,5,7,434,17,435,4
48131,98131,1,65,503,10,502,3
48132,98132,3,157,375,88,379,65
48133,98133,4,95,436,89,455,42
48134,98134,2,4,88,0,4,0
48135,98135,3,160,377,119,376,79
48136,98136,5,12,355,0,12,0
48137,98137,5,120,65,125,59,75
48138,98138,3,146,394,99,406,70
48139,98139,5,73,51,43,51,33
48140,98140,5,43,75,23,69,10
48141,98141,3,49,518,21,513,15
48142,98142,4,50,517,34,517,17
48143,98143,5,128,70,96,71,79
48144,98144,1,135,380,13,378,11
48145,98145,4,170,388,172,410,111
48146,98146,5,52,63,57,50,33
48147,98147,4,63,509,50,509,25
48148,98148,4,134,413,120,409,77
48149,98149,1,148,352,22,349,20
48150,98150,2,75,484,8,475,7
48151,98151,4,138,406,106,424,80
48152,98152,5,24,147,20,142,16
48153,98153,4,85,464,70,490,46
48154,98154,5,12,371,18,379,9
48155,98155,4,113,407,123,442,80
48156,98156,2,31,402,5,397,0
48157,98157,5,164,90,150,82,112
48158,98158,1,160,359,15,360,13
48159,98159,4,51,526,36,501,21
48160,98160,3,45,510,34,505,17
48161,98161,3,138,394,106,394,62
48162,98162,2,172,358,86,357,50
48163,98163,2,12,138,2,141,1
48164,98164,5,43,58,16,53,13
48165,98165,3,153,388,98,378,63
48166,98166,4,7,574,5,7,0
48167,98167,3,100,456,68,468,40
48168,98168,3,102,460,41,461,22
48169,98169,2,38,395,7,403,7
48170,98170,3,171,381,128,384,74
48171,98171,5,58,50,40,44,29
48172,98172,3,172,359,151,370,92
48173,98173,5,6,457,0,6,0
48174,98174,1,156,357,26,364,19
48175,98175,4,95,435,88,464,59
48176,98176,1,5,574,6,611,0
48177,98177,5,31,167,34,157,15
48178,98178,1,145,354,17,364,14
48179,98179,1,38,532,0,536,0
48180,98180,3,78,496,38,476,18
48181,98181,4,108,441,108,449,51
48182,98182,1,168,343,19,342,13
48183,98183,1,98,436,5,440,5
48184,98184,2,154,376,65,380,39
48185,98185,5,152,95,136,77,100
48186,98186,5,57,49,60,41,28
48187,98187,3,20,574,9,568,5
48188,98188,5,119,74,101,60,77
48189,98189,5,141,85,140,74,84
48190,98190,1,142,369,25,364,23
48191,98191,5,142,82,126,68,86
48192,98192,4,136,401,137,428,84
48193,98193,3,9,574,0,607,0
48194,98194,4,24,545,13,552,4
48195,98195,2,163,389,57,388,38
48196,98196,3,153,395,103,399,55
48197,98197,2,79,440,15,440,11
48198,98198,5,141,82,134,66,95
48199,98199,3,105,433,86,441,49
48200,98200,3,3,574,0,615,0
48201,98201,3,3,574,10,617,0
48202,98202,1,138,373,16,370,12
48203,98203,2,34,437,1,439,1
48204,98204,5,120,74,141,50,78
48205,98205,2,24,275,4,271,0
48206,98206,1,9,574,4,603,0
48207,98207,5,165,90,149,80,113
48208,98208,1,171,360,28,356,23
48209,98209,5,4,489,3,4,0
48210,98210,2,16,257,3,251,0
48211,98211,5,131,76,135,70,89
48212,98212,5,132,75,105,66,79
48213,98213,1,172,351,20,351,17
48214,98214,1,93,458,8,457,4
48215,98215,3,120,408,95,414,56
48216,98216,4,155,384,133,402,78
48217,98217,2,147,369,82,371,46
48218,98218,5,38,218,45,219,24
48219,98219,3,68,504,35,501,23
48220,98220,3,130,400,96,413,58
48221,98221,1,33,549,1,553,1
48222,98222,3,148,375,109,385,71
48223,98223,5,75,49,61,49,27
48224,98224,1,85,452,5,448,3
48225,98225,1,73,489,1,484,0
48226,98226,4,124,387,142,422,83
48227,98227,5,77,52,60,51,36
48228,98228,2,129,409,40,405,26
48229,98229,2,115,424,50,425,26
48230,98230,2,13,205,0,216,0
48231,98231,3,161,377,137,374,87
48232,98232,5,19,231,14,241,7
48233,98233,5,112,72,94,55,76
48234,98234,5,149,86,124,74,94
48235,98235,5,67,70,59,67,35
48236,98236,5,111,72,99,65,65
48237,98237,4,61,500,51,519,27
48238,98238,4,133,391,137,405,76
48239,98239,4,159,388,152,419,100
48240,98240,4,3,574,8,3,0
48241,98241,4,124,422,131,447,73
48242,98242,5,11,360,21,370,4
48243,98243,2,159,364,82,361,48
48244,98244,5,82,57,67,51,52
48245,98245,5,151,84,138,66,111
48246,98246,1,43,532,2,533,2
48247,98247,5,104,53,88,55,69
48248,98248,4,126,417,132,442,84
48249,98249,1,187,331,30,333,23
48250,98250,2,126,384,58,378,32
48251,98251,1,176,337,21,335,20
48252,98252,5,120,84,122,65,99
48253,98253,4,129,408,114,433,67
48254,98254,4,111,410,100,424,60
48255,98255,5,171,86,165,84,120
48256,98256,1,147,359,20,356,14
48257,98257,2,36,383,5,387,2
48258,98258,2,22,271,5,272,0
48259,98259,2,106,417,34,412,20
48260,98260,2,136,401,45,402,26
48261,98261,5,9,393,3,396,0
48262,98262,2,72,456,18,451,14
48263,98263,5,13,207,23,219,0
48264,98264,2,124,388,51,387,30
48265,98265,2,88,445,24,447,17
48266,98266,3,7,574,0,7,0
48267,98267,5,35,162,47,152,22
48268,98268,5,90,56,78,49,52
48269,98269,3,128,383,87,397,58
48270,98270,3,126,418,92,425,56
48271,98271,3,47,522,24,511,14
48272,98272,4,91,446,83,458,58
48273,98273,5,131,75,122,77,91
48274,98274,5,99,71,100,54,56
48275,98275,5,12,432,5,439,5
48276,98276,2,32,409,3,400,1
48277,98277,3,13,574,0,595,0
48278,98278,2,123,394,43,393,28
48279,98279,5,26,114,27,111,18
48280,98280,3,156,387,102,385,75
48281,98281,4,125,421,101,453,60
48282,98282,1,132,372,15,371,10
48283,98283,5,6,457,0,6,0
48284,98284,1,10,574,0,10,0
